90	java.base	java.lang.Double	doubleToRawLongBits(double)	?
91	java.base	java.lang.Double	longBitsToDouble(long)	?
92	java.base	java.lang.Float	floatToRawIntBits(float)	?
93	java.base	java.lang.Float	intBitsToFloat(int)	?
94	java.base	java.lang.invoke.LambdaProxyClassArchive	addToArchive(java.lang.Class, java.lang.String, java.lang.invoke.MethodType, java.lang.invoke.MethodType, java.lang.invoke.MemberName, java.lang.invoke.MethodType, java.lang.Class)	?
95	java.base	java.lang.invoke.LambdaProxyClassArchive	findFromArchive(java.lang.Class, java.lang.String, java.lang.invoke.MethodType, java.lang.invoke.MethodType, java.lang.invoke.MemberName, java.lang.invoke.MethodType)	?
96	java.base	java.lang.invoke.MethodHandle	invoke(java.lang.Object[])	?
97	java.base	java.lang.invoke.MethodHandle	invokeBasic(java.lang.Object[])	?
98	java.base	java.lang.invoke.MethodHandle	invokeExact(java.lang.Object[])	?
99	java.base	java.lang.invoke.MethodHandle	linkToInterface(java.lang.Object[])	?
100	java.base	java.lang.invoke.MethodHandle	linkToNative(java.lang.Object[])	?
101	java.base	java.lang.invoke.MethodHandle	linkToSpecial(java.lang.Object[])	?
102	java.base	java.lang.invoke.MethodHandle	linkToStatic(java.lang.Object[])	?
103	java.base	java.lang.invoke.MethodHandle	linkToVirtual(java.lang.Object[])	?
104	java.base	java.lang.invoke.MethodHandleNatives	clearCallSiteContext(java.lang.invoke.MethodHandleNatives$CallSiteContext)	?
105	java.base	java.lang.invoke.MethodHandleNatives	copyOutBootstrapArguments(java.lang.Class, int[], int, int, java.lang.Object[], int, boolean, java.lang.Object)	?
106	java.base	java.lang.invoke.MethodHandleNatives	expand(java.lang.invoke.MemberName)	?
107	java.base	java.lang.invoke.MethodHandleNatives	getMembers(java.lang.Class, java.lang.String, java.lang.String, int, java.lang.Class, int, java.lang.invoke.MemberName[])	?
108	java.base	java.lang.invoke.MethodHandleNatives	getMemberVMInfo(java.lang.invoke.MemberName)	?
109	java.base	java.lang.invoke.MethodHandleNatives	getNamedCon(int, java.lang.Object[])	?
110	java.base	java.lang.invoke.MethodHandleNatives	init(java.lang.invoke.MemberName, java.lang.Object)	?
111	java.base	java.lang.invoke.MethodHandleNatives	objectFieldOffset(java.lang.invoke.MemberName)	?
112	java.base	java.lang.invoke.MethodHandleNatives	registerNatives()	?
113	java.base	java.lang.invoke.MethodHandleNatives	resolve(java.lang.invoke.MemberName, java.lang.Class, int, boolean)	?
114	java.base	java.lang.invoke.MethodHandleNatives	setCallSiteTargetNormal(java.lang.invoke.CallSite, java.lang.invoke.MethodHandle)	?
115	java.base	java.lang.invoke.MethodHandleNatives	setCallSiteTargetVolatile(java.lang.invoke.CallSite, java.lang.invoke.MethodHandle)	?
116	java.base	java.lang.invoke.MethodHandleNatives	staticFieldBase(java.lang.invoke.MemberName)	?
117	java.base	java.lang.invoke.MethodHandleNatives	staticFieldOffset(java.lang.invoke.MemberName)	?
118	java.base	java.lang.invoke.VarHandle	compareAndExchange(java.lang.Object[])	?
119	java.base	java.lang.invoke.VarHandle	compareAndExchangeAcquire(java.lang.Object[])	?
120	java.base	java.lang.invoke.VarHandle	compareAndExchangeRelease(java.lang.Object[])	?
121	java.base	java.lang.invoke.VarHandle	compareAndSet(java.lang.Object[])	?
122	java.base	java.lang.invoke.VarHandle	get(java.lang.Object[])	?
123	java.base	java.lang.invoke.VarHandle	getAcquire(java.lang.Object[])	?
124	java.base	java.lang.invoke.VarHandle	getAndAdd(java.lang.Object[])	?
125	java.base	java.lang.invoke.VarHandle	getAndAddAcquire(java.lang.Object[])	?
126	java.base	java.lang.invoke.VarHandle	getAndAddRelease(java.lang.Object[])	?
127	java.base	java.lang.invoke.VarHandle	getAndBitwiseAnd(java.lang.Object[])	?
